tz,electric_power,EP_1_DAY_AGo,EP_1_Week_AGo,EP_4_Weeks_AGo,EP_Next_hour,electric_power_rolling_avg_one_day,electric_power_rolling_avg_one_week
2017-02-09 10:30,32.11597183,27.05536592,0,0,31.42984596,0,0
2017-02-09 11:30,31.42984596,26.3939477,0,0,32.57733328,0,0
2017-02-09 12:30,32.57733328,26.19958427,0,0,33.65053429,0,0
2017-02-09 13:30,33.65053429,27.19754991,0,0,32.88567177,0,0
2017-02-09 14:30,32.88567177,28.14867062,0,0,35.17675432,0,0
2017-02-09 15:30,35.17675432,27.85854495,0,0,36.05535602,0,0
2017-02-09 16:30,36.05535602,30.17812805,0,0,31.77156644,0,0
2017-02-09 17:30,31.77156644,28.97073782,0,0,26.94054052,0,0
2017-02-09 18:30,26.94054052,25.95139262,0,0,21.56497926,0,0
2017-02-09 19:30,21.56497926,19.3536585,0,0,18.55210831,0,0
2017-02-09 20:30,18.55210831,19.0353825,0,0,16.60999196,0,0
2017-02-09 21:30,16.60999196,16.77639129,0,0,17.38672465,0,0
2017-02-09 22:30,17.38672465,16.80216723,0,0,17.12190249,0,0
2017-02-09 23:30,17.12190249,16.59004811,0,0,17.01412639,0,0
2017-02-10 0:30,17.01412639,17.89780116,0,0,16.76487509,0,0
2017-02-10 1:30,16.76487509,17.38900257,0,0,16.54375751,0,0
2017-02-10 2:30,16.54375751,17.17964803,0,0,18.00675026,0,0
2017-02-10 3:30,18.00675026,16.87328946,0,0,23.25367129,0,0
2017-02-10 4:30,23.25367129,16.79080562,0,0,24.53077273,0,0
2017-02-10 5:30,24.53077273,17.32248281,0,0,19.03147503,0,0
2017-02-10 6:30,19.03147503,17.95967965,0,0,23.53491624,0,0
2017-02-10 7:30,23.53491624,24.33102669,0,0,32.74566798,0,0
2017-02-10 8:30,32.74566798,31.37585662,0,0,34.32283541,0,0
2017-02-10 9:30,34.32283541,31.28738471,0,0,34.06806957,0,0
2017-02-10 10:30,34.06806957,32.11597183,0,0,34.21043798,0,0
2017-02-10 11:30,34.21043798,31.42984596,0,0,32.54572785,0,0
2017-02-10 12:30,32.54572785,32.57733328,0,0,31.50740607,0,0
2017-02-10 13:30,31.50740607,33.65053429,0,0,30.88260396,0,0
2017-02-10 14:30,30.88260396,32.88567177,0,0,32.36101409,0,0
2017-02-10 15:30,32.36101409,35.17675432,0,0,34.42947634,0,0
2017-02-10 16:30,34.42947634,36.05535602,0,0,28.43349123,0,0
2017-02-10 17:30,28.43349123,31.77156644,0,0,20.70492289,0,0
2017-02-10 18:30,20.70492289,26.94054052,0,0,17.52345076,0,0
2017-02-10 19:30,17.52345076,21.56497926,0,0,17.73480698,0,0
2017-02-10 20:30,17.73480698,18.55210831,0,0,16.82917205,0,0
2017-02-10 21:30,16.82917205,16.60999196,0,0,16.71152483,0,0
2017-02-10 22:30,16.71152483,17.38672465,0,0,16.3173603,0,0
2017-02-10 23:30,16.3173603,17.12190249,0,0,16.84948347,0,0
2017-02-11 0:30,16.84948347,17.01412639,0,0,17.04903788,0,0
2017-02-11 1:30,17.04903788,16.76487509,0,0,16.84659234,0,0
2017-02-11 2:30,16.84659234,16.54375751,0,0,16.10468197,0,0
2017-02-11 3:30,16.10468197,18.00675026,0,0,16.7970397,0,0
2017-02-11 4:30,16.7970397,23.25367129,0,0,16.66362129,0,0
2017-02-11 5:30,16.66362129,24.53077273,0,0,16.00598513,0,0
2017-02-11 6:30,16.00598513,19.03147503,0,0,15.4324425,0,0
2017-02-11 7:30,15.4324425,23.53491624,0,0,15.46475746,0,0
2017-02-11 8:30,15.46475746,32.74566798,0,0,16.43484517,0,0
2017-02-11 9:30,16.43484517,34.32283541,0,0,15.89166806,0,0
2017-02-11 10:30,15.89166806,34.06806957,0,0,15.83023942,0,0
2017-02-11 11:30,15.83023942,34.21043798,0,0,15.99539716,0,0
2017-02-11 12:30,15.99539716,32.54572785,0,0,15.36973408,0,0
2017-02-11 13:30,15.36973408,31.50740607,0,0,15.10443922,0,0
2017-02-11 14:30,15.10443922,30.88260396,0,0,15.06591722,0,0
2017-02-11 15:30,15.06591722,32.36101409,0,0,17.25681695,0,0
2017-02-11 16:30,17.25681695,34.42947634,0,0,18.00560927,0,0
2017-02-11 17:30,18.00560927,28.43349123,0,0,17.37063184,0,0
2017-02-11 18:30,17.37063184,20.70492289,0,0,17.53020967,0,0
2017-02-11 19:30,17.53020967,17.52345076,0,0,17.26438043,0,0
2017-02-11 20:30,17.26438043,17.73480698,0,0,16.15986722,0,0
2017-02-11 21:30,16.15986722,16.82917205,0,0,16.46684943,0,0
2017-02-11 22:30,16.46684943,16.71152483,0,0,16.57889552,0,0
2017-02-11 23:30,16.57889552,16.3173603,0,0,16.99232789,0,0
2017-02-12 0:30,16.99232789,16.84948347,0,0,16.33972405,0,0
2017-02-12 1:30,16.33972405,17.04903788,0,0,16.39657838,0,0
2017-02-12 2:30,16.39657838,16.84659234,0,0,16.54204202,0,0
2017-02-12 3:30,16.54204202,16.10468197,0,0,17.29620584,0,0
2017-02-12 4:30,17.29620584,16.7970397,0,0,16.62993131,0,0
2017-02-12 5:30,16.62993131,16.66362129,0,0,15.27237132,0,0
2017-02-12 6:30,15.27237132,16.00598513,0,0,15.5560075,0,0
2017-02-12 7:30,15.5560075,15.4324425,0,0,15.63890588,0,0
