Datetime,electric_power
2017-02-06 07:30:00,26.59706314581427
2017-02-06 08:30:00,30.09660830332593
2017-02-06 09:30:00,30.74433869868877
2017-02-06 10:30:00,30.696276814504127
2017-02-06 11:30:00,29.545297146775404
2017-02-06 12:30:00,29.500754540036514
2017-02-06 13:30:00,29.644877798789924
2017-02-06 14:30:00,30.50051764563662
2017-02-06 15:30:00,32.05410629630416
2017-02-06 16:30:00,33.42490273988975
2017-02-06 17:30:00,30.954684474491962
2017-02-06 18:30:00,25.45875209274304
2017-02-06 19:30:00,22.04653226178454
2017-02-06 20:30:00,18.485115661660902
2017-02-06 21:30:00,17.343983300028032
2017-02-06 22:30:00,16.70702545135678
2017-02-06 23:30:00,17.465894718128656
2017-02-07 00:30:00,17.298333174893983
2017-02-07 01:30:00,17.46196886286461
2017-02-07 02:30:00,17.069370764161786
2017-02-07 03:30:00,17.048210654799867
2017-02-07 04:30:00,24.145599074877957
2017-02-07 05:30:00,23.481637437977973
2017-02-07 06:30:00,23.48360634062146
2017-02-07 07:30:00,23.724793128723338
2017-02-07 08:30:00,29.00126782008728
2017-02-07 09:30:00,29.602776229438657
2017-02-07 10:30:00,30.57047808855238
2017-02-07 11:30:00,28.46150989318274
2017-02-07 12:30:00,28.22885835776896
2017-02-07 13:30:00,32.174418654180286
2017-02-07 14:30:00,29.74374868823373
2017-02-07 15:30:00,29.410767679237967
2017-02-07 16:30:00,32.94423498492819
2017-02-07 17:30:00,30.050492840124132
2017-02-07 18:30:00,25.215531249571143
2017-02-07 19:30:00,22.31414742997149
2017-02-07 20:30:00,18.866160061866974
2017-02-07 21:30:00,17.059514157878354
2017-02-07 22:30:00,16.696330376348964
2017-02-07 23:30:00,16.643947615591518
2017-02-08 00:30:00,16.767497435130498
2017-02-08 01:30:00,16.69320135719705
2017-02-08 02:30:00,16.496962109963444
2017-02-08 03:30:00,16.595954013452648
2017-02-08 04:30:00,17.497116166168976
2017-02-08 05:30:00,16.936805307284583
2017-02-08 06:30:00,17.236925469488135
2017-02-08 07:30:00,20.48193883615016
2017-02-08 08:30:00,26.889179823478838
2017-02-08 09:30:00,27.2325037569233
2017-02-08 10:30:00,27.055365917988084
2017-02-08 11:30:00,26.393947702033273
2017-02-08 12:30:00,26.199584271832954
2017-02-08 13:30:00,27.19754991436165
2017-02-08 14:30:00,28.148670624400655
2017-02-08 15:30:00,27.85854495198151
2017-02-08 16:30:00,30.17812805033625
2017-02-08 17:30:00,28.97073782034778
2017-02-08 18:30:00,25.951392619687155
2017-02-08 19:30:00,19.353658499219986
2017-02-08 20:30:00,19.035382499585385
2017-02-08 21:30:00,16.776391290812906
2017-02-08 22:30:00,16.802167231630243
2017-02-08 23:30:00,16.590048108678005
2017-02-09 00:30:00,17.89780115540012
2017-02-09 01:30:00,17.38900256962634
2017-02-09 02:30:00,17.179648033796553
2017-02-09 03:30:00,16.873289460264488
2017-02-09 04:30:00,16.790805620381125
2017-02-09 05:30:00,17.32248280797709
2017-02-09 06:30:00,17.95967965199387
2017-02-09 07:30:00,24.331026690061787
2017-02-09 08:30:00,31.37585662321532
2017-02-09 09:30:00,31.287384706883646
2017-02-09 10:30:00,32.115971828298804
2017-02-09 11:30:00,31.429845958629937
2017-02-09 12:30:00,32.57733327549914
2017-02-09 13:30:00,33.65053428950761
2017-02-09 14:30:00,32.885671770570276
2017-02-09 15:30:00,35.17675431647686
2017-02-09 16:30:00,36.05535602069851
2017-02-09 17:30:00,31.771566435320143
2017-02-09 18:30:00,26.940540515296256
2017-02-09 19:30:00,21.564979261002645
2017-02-09 20:30:00,18.552108313133502
2017-02-09 21:30:00,16.60999195618184
2017-02-09 22:30:00,17.386724653447523
2017-02-09 23:30:00,17.121902487447468
2017-02-10 00:30:00,17.01412638725185
2017-02-10 01:30:00,16.764875089582006
2017-02-10 02:30:00,16.543757513807517
2017-02-10 03:30:00,18.006750262317045
2017-02-10 04:30:00,23.253671288020936
2017-02-10 05:30:00,24.530772727645758
2017-02-10 06:30:00,19.03147503482318
2017-02-10 07:30:00,23.534916236777093
2017-02-10 08:30:00,32.745667977735465
2017-02-10 09:30:00,34.32283541395606
2017-02-10 10:30:00,34.06806956846854
2017-02-10 11:30:00,34.21043798387606
2017-02-10 12:30:00,32.54572785355521
2017-02-10 13:30:00,31.507406071716314
2017-02-10 14:30:00,30.88260395609829
2017-02-10 15:30:00,32.36101409187746
2017-02-10 16:30:00,34.429476340938606
2017-02-10 17:30:00,28.4334912256029
2017-02-10 18:30:00,20.70492288691897
2017-02-10 19:30:00,17.523450764989814
2017-02-10 20:30:00,17.734806979767598
2017-02-10 21:30:00,16.82917205368812
2017-02-10 22:30:00,16.7115248290987
2017-02-10 23:30:00,16.31736029899513
2017-02-11 00:30:00,16.849483472258655
2017-02-11 01:30:00,17.04903788227695
2017-02-11 02:30:00,16.846592343957028
2017-02-11 03:30:00,16.1046819705825
2017-02-11 04:30:00,16.797039702328806
2017-02-11 05:30:00,16.66362129253431
2017-02-11 06:30:00,16.00598512671082
2017-02-11 07:30:00,15.432442495268953
2017-02-11 08:30:00,15.464757455549039
2017-02-11 09:30:00,16.43484516607548
2017-02-11 10:30:00,15.891668058284699
2017-02-11 11:30:00,15.830239416184844
2017-02-11 12:30:00,15.995397162037012
2017-02-11 13:30:00,15.369734078748365
2017-02-11 14:30:00,15.104439215436047
2017-02-11 15:30:00,15.065917218674093
2017-02-11 16:30:00,17.25681694569023
2017-02-11 17:30:00,18.005609267567657
2017-02-11 18:30:00,17.370631835283774
