Datetime,Temperature,Pressure,Humidity,Wind,Wind_Speed,Forcast,City
16.02.2017 20:00,12.9,767.1,52,Wind blowing from the north-northeast,5, ,Falconara 
16.02.2017 23:00,12.4,768.6,46,Wind blowing from the north-northeast,4, ,Falconara 
17.02.2017 08:00,12.6,769.3,45,Wind blowing from the north-northwest,3, ,Falconara 
17.02.2017 17:00,13.8,769.3,44,Wind blowing from the west-northwest,4, ,Falconara 
18.02.2017 11:00,13.1,770.7,59,Wind blowing from the south,2, ,Falconara 
18.02.2017 14:00,14.2,770,52,Wind blowing from the south,3, ,Falconara 
18.02.2017 17:00,14.6,769.5,52,Wind blowing from the south,1, ,Falconara 
18.02.2017 20:00,13,770.1,66,Wind blowing from the east,1, ,Falconara 
18.02.2017 23:00,10.1,769.9,78,Wind blowing from the east,1, ,Falconara 
19.02.2017 02:00,8.1,769.4,75,Wind blowing from the east,1, ,Falconara 
19.02.2017 05:00,7.8,769.2,79,Wind blowing from the west,1, ,Falconara 
19.02.2017 08:00,9.8,770.3,75,Wind blowing from the west,1, ,Falconara 
19.02.2017 11:00,16.7,770.6,49,Wind blowing from the east-southeast,1, ,Falconara 
19.02.2017 14:00,16.9,769.2,51,Wind blowing from the north-west,6, ,Falconara 
19.02.2017 20:00,14.1,769.4,56,Wind blowing from the north,2, ,Falconara 
19.02.2017 23:00,12.5,769.1,66,Wind blowing from the north-east,1, ,Falconara 
20.02.2017 02:00,13,768.3,64,Wind blowing from the north,3, ,Falconara 
20.02.2017 05:00,14,770.9,63,Wind blowing from the north-northwest,4, ,Falconara 
20.02.2017 17:00,17.4,767.2,48,Wind blowing from the north,5, ,Falconara 
20.02.2017 20:00,15.1,767.9,54,Wind blowing from the north-northeast,3, ,Falconara 
20.02.2017 23:00,12.4,767,67,Wind blowing from the north-east,1, ,Falconara 
21.02.2017 02:00,9.1,766,81,Wind blowing from the south-west,1, ,Falconara 
21.02.2017 08:00,9.4,765.8,83,Wind blowing from the south,1,Mist. ,Falconara 
21.02.2017 11:00,17,766.4,50,Wind blowing from the south-southwest,2, ,Falconara 
21.02.2017 14:00,18.1,764.4,39,Wind blowing from the west-northwest,4, ,Falconara 
21.02.2017 17:00,16.6,763.8,48,Wind blowing from the north,3, ,Falconara 
21.02.2017 20:00,13.6,763.5,69,Wind blowing from the east,2, ,Falconara 
22.02.2017 05:00,11.4,762,78,Wind blowing from the south,4, ,Falconara 
22.02.2017 08:00,12.2,762.5,77,Wind blowing from the east-northeast,4, ,Falconara 
22.02.2017 11:00,14.6,763.3,63,Wind blowing from the east,2,Haze. ,Falconara 
22.02.2017 14:00,17.1,763.2,38,Wind blowing from the north-northwest,3,State of sky on the whole unchanged. ,Falconara 
22.02.2017 23:00,11.1,765.8,79,Wind blowing from the north-northeast,1, ,Falconara 
23.02.2017 02:00,9.4,765.9,85,Wind blowing from the south-southwest,1, ,Falconara 
23.02.2017 11:00,18.5,768,51,Wind blowing from the north-west,3, ,Falconara 
23.02.2017 17:00,17.4,767.4,55,Wind blowing from the north-northwest,5, ,Falconara 
23.02.2017 20:00,15,767.8,61,Wind blowing from the north,2, ,Falconara 
24.02.2017 02:00,13.2,768,71,Wind blowing from the east-northeast,1, ,Falconara 
